"ASV","s.Chronic gastritis (CG)_Elderly","s.Chronic gastritis (CG)_Middle Age","s.Chronic gastritis (CG)_Young Adult","s.Gastric cancer (GC)_Elderly","s.Gastric cancer (GC)_Middle Age","s.Gastric cancer (GC)_Young Adult","s.Healthy control (HC)_Elderly","s.Healthy control (HC)_Middle Age","s.Healthy control (HC)_Young Adult","s.Intestinal metaplasia (IM）_Elderly","s.Intestinal metaplasia (IM）_Middle Age","s.Intraepithelial neoplasia (IN)_Elderly","s.Intraepithelial neoplasia (IN)_Middle Age","index","stat","p.value","Domain","Phylum","Class","Order","Family","Genus","Species"
"89b60225ad00df6a5193fd93297d970d",1,1,1,0,0,0,0,0,0,1,0,0,0,384,0.829553233437258,0.005,"d__Bacteria","p__Acidobacteriota","c__Holophagae","o__Holophagales","f__Holophagaceae","g__Holophaga",NA
"c4b40ae02d0ba4530336d7b20bd905ef",1,1,1,0,0,0,0,0,0,0,0,0,0,92,0.829918911349946,0.005,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__KF-JG30-C25","f__KF-JG30-C25","g__KF-JG30-C25","s__uncultured_soil"
"a96fc1a6156a04125913c4ad9887d0ab",0,0,0,0,0,0,1,1,1,0,0,0,0,343,0.815796704291328,0.005,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Acidithiobacillales","f__Acidithiobacillaceae","g__KCM-B-112","s__uncultured_bacterium"
"82dc51dc4e91a01cd70af61d290805c5",0,0,0,0,0,0,1,0,1,0,0,0,0,72,0.714793392504097,0.005,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Tenderiales","f__Tenderiaceae","g__Candidatus_Tenderia","s__uncultured_Chromatiales"
"3180a9091d6315f0958684ea04284b3d",0,0,0,0,0,0,1,1,1,0,0,0,0,343,0.831959746161225,0.005,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Immundisolibacterales","f__Immundisolibacteraceae",NA,NA
"1fb241d85cb3620f783d17c6ab652606",1,1,1,1,0,1,1,1,1,1,1,1,1,8186,0.981880207820546,0.005,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas",NA
"c7e1b23d5e0b7734aa26d1d1ef965807",0,0,0,0,0,0,1,1,1,0,0,0,0,343,0.968529561709445,0.005,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Cellvibrionales","f__Porticoccaceae","g__C1-B045",NA
"1295b2422c486f8f4d5a03ade696f671",0,0,0,0,0,0,0,0,0,0,0,1,1,91,0.913308447529164,0.005,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Alteromonadales","f__Marinobacteraceae","g__Marinobacter","s__Marinobacter_maritimus"
"98b64859dca17865c5c1f6f19c6805f2",1,1,1,0,0,0,0,0,0,1,0,0,0,384,0.851529024408903,0.005,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__WD260","f__WD260","g__WD260","s__uncultured_bacterium"
"ac73303ef836a0440968d4310d3f73f5",1,1,1,0,0,1,1,1,1,1,1,1,0,7926,0.831034900487331,0.005,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Gammaproteobacteria_Incertae_Sedis","f__Unknown_Family","g__Acidibacter","s__bacterium_Ellin5264"
"c7d926efabd8fc7144ab9f4b07dd48cd",1,1,1,0,0,0,1,0,0,0,1,0,0,1120,0.809675474956649,0.005,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Methylococcales","f__Methylomonadaceae","g__Methyloprofundus",NA
"8efb4d3f4d891d627b3a730a7b8b62d0",1,0,0,0,0,0,1,1,1,0,0,0,0,563,0.74069284007701,0.005,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Legionellales","f__Legionellaceae","g__Legionella",NA
"f924a97030a012589460e64edb57146f",0,0,0,0,0,0,1,1,1,0,0,0,0,343,0.802538345881472,0.005,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Beggiatoales","f__Beggiatoaceae","g__uncultured","s__uncultured_Chromatiales"
"ec128cf4189c2dbfe37a54d3385ac465",1,1,1,1,0,1,1,1,1,1,1,1,1,8186,0.954590051538995,0.005,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Stenotrophomonas",NA
"59fd226072562e5aa1f0ce8e864f980b",1,1,1,0,0,0,1,1,1,1,1,0,0,6043,0.907177690982816,0.005,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Rhodanobacteraceae","g__Rhodanobacter","s__uncultured_Xanthomonadaceae"
"3c6449b546e10053a7b6ab790e89259c",0,0,0,1,1,1,1,0,1,0,0,0,0,2129,0.871548615935757,0.005,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Hydrogenophilaceae","g__Hydrogenophilus",NA
"7c06f2adb56ae7a716e01bdaa1ffe242",1,1,0,0,0,0,1,1,1,1,0,1,0,4538,0.929265361987987,0.005,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Rhodocyclaceae","g__Zoogloea",NA
"927c2734e58990271d87d710c3ba6ae3",1,1,1,1,0,1,1,1,1,1,1,1,1,8186,0.986452757259721,0.005,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae",NA,NA
"6434d3baa619307b39454bcc2c3b6b69",0,0,0,0,0,0,1,1,1,0,0,0,0,343,0.94777924214923,0.005,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Chromobacteriaceae","g__Vogesella","s__Vogesella_fluminis"
"f86489de298ab4da3994b867f0e14a35",1,1,1,0,0,1,1,1,1,1,1,1,1,8144,0.937430992038534,0.005,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Lautropia",NA
"e496c7d49ceed14bdfc6868f1e69316e",1,1,1,1,1,1,1,0,0,0,0,1,1,7113,0.778428947517863,0.005,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Alcaligenaceae","g__Achromobacter",NA
"a5263886f081d951551d6461e27946eb",0,0,0,0,0,0,0,1,1,0,0,0,0,77,0.771527500586401,0.005,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Gallionellaceae",NA,NA
"e53f590b653933b76bf9eb10b1d3bccb",1,1,1,0,0,0,1,1,1,1,1,1,1,7933,0.779869883707089,0.005,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Nitrosomonadaceae","g__Nitrosospira",NA
"397fda84e8fbf0fd9e5c41ca8154e5eb",0,0,0,0,0,0,0,1,1,0,0,0,0,77,0.721038240555941,0.005,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Oceanospirillales","f__Pseudohongiellaceae","g__Pseudohongiella",NA
